text	labels
$aapl $150 price target 🎯	0
"$aapl ""apple s last stand"""	0
$aapl $tsla $sq $rh $nvda follow the green eyed pony	0
$aapl $tsla $sq $rh $nvda feel so sexy when i take bulls money url	0
$spy $aapl ecosystem means monopoly and that antitrust probe will likely end with executive arrests for chinese espionage	0
$spy timber $aapl	0
$aapl $178-$179 today⏳📉	0
$aapl . my charts and overall calculations are not good. i can smell that something is really cooking as a burn. my estimate is 145. thanks	0
$spy $aapl thanks trump...	0
$aapl pre market is red now.	0
$aapl chart looks beautiful.... beautifully bearish.	0
$aapl only thing holding us up is apple buying back their shares⏳📉	0
$aapl $182.50 weekly puts	0
$tsla new sof $aapl possibly buying a self driving car start up more good news for tesla lol who in their right mind buys this garbage here bk in 1 year imo	0
$aapl expecting a $1-$2 down day	0
$aapl lame. didn t even have the guts to release that ipod. complete sht show	0
$aapl prop job is unreal. 6 straight red candles with decent volume only tanks this by 50 cents. 1 small green candle recovers it by 50 cents. totally legit.	0
$aapl tim cook can t keep up with his buybacks as fast as the markets dropping	0
$aapl ok this make more sense	0
$aapl	0
$aapl trump says tariffs on china could be raised by another $300 billion if necessary	0
$aapl some profits anyone . see for yourself what magic my indicator does to your trade... if this cannot make you ric	0
$aapl very manipulated	0
update 5 $aapl jun-07 185 puts up 223%. since alerted on: may 21.	0
$aapl low volume	0
$aapl darn you apple. just drop already	0
$aapl got $180 yolos puts🔮	0
16million $ worth of puts on $tsla so i think that should do the dowtrend for sfix now look at $aapl lol crapping $msft lol... $kss printing with $spy	0
$amzn more pain for bulls.	0
$amzn doing my first order from china today with these new tariffs in will be getting charged an extra $200 on my shipping costs here 😑. now i m looking for other suppliers here in us. lol dam it lol coming up on puts but paying the price out of pocket sucks lol	0
$amzn i am predicting big dumps today and tomorrow. before tariffs effect	0
$spy $amd $amzn url	0
in simple word.. 200 dma rejection $amzn	0
$amzn never seen so much bullish optimism during a downtrending channel and bad news	0
$amzn looks like we are just doing more consolidating here.	0
$amzn i m not making any moves until at least another 30 minutes.	0
$amzn can t wait for the bulls to try and hold this up so i can load one more put before tariffs hit.	0
$amzn that big one day rally was suspect to me. if that was a reversal it was weak.	0
$amzn why is this acting so weak compared to the rest of the market	0
$amzn i think i will be taking a nap early today.	0
$amzn about time to drop.	0
$amzn you re lucky to have the opportunity to get out this high. the chart is a mess.	0
$amzn market in a very precarious position right now.	0
$amzn sooner or later you will realize that banana fukd u all.	0
$amzn we ve already had a $100 down day. i think we can beat that. $150-$200.	0
$amzn potential for retest of breakdown. down to 1700 level next week. bearish spread trade in order.	0
$amzn sold my calls for a small loss. not the day for options. everything is pretty flat as far as spy and fangs.	0
$jd $baba if anyone s books are fake it s these two both going to crash today	0
$baba trump about to threaten 300 billion more in tariffs to china.	0
