text	labels
in play longs: $au $chk $canf $hts $lei $nxpi $sa $sne $stx $tol	2
$nugt $dust careful can reverse fast	0
rt keep eye on rsblades $away url needs to make a solid break thru current resistance $22 -could run to $24 in short order	2
$glng url still looks constructive	2
record number of passengers served in 2015 airlines $jblu $luv $va $ual $dal $save $aal $ha $alk url 	2
$aapl $fb $amzn $pg $mcd $gs $c $ge $utx $slb $xom $googl $agn $wmt $qqq $iwm $gild $hon $jpm $dis nice day rally url 	2
 rolltidetrader wilful infringement does not go into calculations of patent damages $aapl	0
$gild 91 now support. $ibb $bib url 	2
pivotal sees 27% upside for alphabet url $googl $abx $yhoo	2
thank you $goog google alphabet and $fb facebook stocks what a nice reversal.	2
$athn seems like a good short setup. stop above the 50 day. no position.	0
institutions seem to like this class of stocks. own 85-90% of shares in $hal $slb $nov $bhi $spn $fti $dvr .	2
$slw is down, but weekly $34 calls -28.95% , .23 x .25 have 321 volume. worth a chance here, jmho: url 	2
rt ldrogen 10 favorite stocks and trends for 2013 $asgn $lnkd $ua... url 	2
$aapl getting very close to 200 ma of 110.87, hasn t closed above 200 ma since july 31, 2015. if when it does, will be significant.	2
$gld url on closer inspection. resistance 10 points north at 200d and downward trendline. chart 2 of 2.	0
$sbux..ripe for a squeeze again 	0
buy these 3 stocks while there s blood in the streets: url $nxpi $ibm $lgf url 	2
pivotal upgrades alphabet ahead of q1 results url $goog $googl	2
$rden very tight price for 3 consecutive weeks.	1
pie in the sky url $aapl $adbe $akam $amzn $atvi $ca $chkp $crm $csco $emc $eqix $fb $ffiv $googl $hpe $hpq $ibm	2
"indices are rallying today, but it seems like a lot of the ""highly covered companies"" are underperforming $aapl $fb $amzn $mcd $spy"	0
commented on apple in need of innovation: sell rating url $aapl $amzn $goog $googl $msft	1
$free closed green bullish lol	2
$amkr $esv $fcel $fivn $ntri $rig $wdc stocks at support w high trade quality url stocks url 	2
rt ldrogen 10 favorite stocks and trends for 2013 $asgn $lnkd $ua... url 	2
avago, broadcom to combine in $37 billion deal $avgo $brcm url 	2
record number of passengers served in 2015 airlines $jblu $luv $va $ual $dal $save $aal $ha $alk url 	2
quality stocks with high cash returns: url $dtv $stx $sfun $ppc $eln	2
$dis 640m globally this week on avengers really sick ,stan lee is a beast	2
$yelp wayyy overvalued right now imo. should be trading single digits. may take a short pos. into earnings. near term target 18 ......	0
daily mail parent in talks with private equity for yahoo bid yahoo $yhoo url via reuters	2
with personal story sharing declining, will $fb feeds start to look more like $twtr and what sort of effect will that have on advertisers 	0
google, inc. completes acquisition of icoa, inc. url $icoa $goog	2
$stx move off the bottom but still in bear market datasecurity $emc $sndk $wdc url 	0
$baba may take a few days wks months watch what happened to $fb $twtr after they ipo. mrkt needs to washout. to hunt well need 2 wait stalk.	0
rt montisumo down day for all biotechs good to load up be confident. $onty $chtp $ais $hgsi $dndn agreed $ibb $xbi all same downness	2
institutions seem to like this class of stocks. own 85-90% of shares in $hal $slb $nov $bhi $spn $fti $dvr .	2
today s bull flags url stocks $ $ostk $ivc $cs	2
" gwenn caliente: $fb what happened to all those shorting from $26 neg pumpers....oh, you re still here. 17243791 a lack of sellers taking it higher $spy 0.364 stocktwits financial iceberg a lack of sellers taking it higher, nyse levels confirm that. market allowing a vast amount of greater fools in $spy 16201444 was still up on the screen $tsla 0.377 stocktwits $tsla for chartlooker was still up on the screen url 12365784 do you really think in 4 weeks they capture 10% impossible. $amrn -0.317 stocktwits megatronx $amrn lovaza does 90k scripts a week. do you really think in 4 weeks they capture 10% impossible. 14646229 gets a patent and goes up .20 today $nept 0.432 stocktwits $amrn gets 26 patents and goes down $10, $nept gets a patent and goes up .20 today. 14646229 gets 26 patents and goes down $amrn -0.373 stocktwits $amrn gets 26 patents and goes down $10, $nept gets a patent and goes up .20 today. 13132243 seriously nothing says strong growth like;$;well played $xlu 0.312 stocktwits seriously nothing says strong growth like $xlu and $xlp - well played 13132243 seriously nothing says strong growth like;$;well played $xlp 0.312 stocktwits seriously nothing says strong growth like $xlu and $xlp - well played 13918004 keep an eye on this one also $oxy 0.104 stocktwits $oxy - keep an eye on this one also 18341620 hearing rumours of a major joint venture announcement $bbry 0.427 stocktwits $bbry hearing rumours of a major joint venture announcement. 13937216 downgraded to neutral at wedbush;$;pt lowered to $ely -0.434 stocktwits now i can blame my clubs for being a terrible golfer $ely downgraded to neutral at wedbush, pt lowered to 7.00 13865641 is just humming easing overbought $lvs -0.404 stocktwits $lvs is just humming easing overbought, url 11379892 will be looking to add shares if we get a new high breakout $ocn 0.421 stocktwits $ocn has the stuff. will be looking to add shares if we get a new high breakout. 13043762 sold to close $qqq puts for 34% $qqq -0.059 stocktwits sold to close $qqq puts for 34%. sold to close $bby puts for loss. sorry for late post 13043762 sold to close $qqq puts for 34% $bby 0.292 stocktwits sold to close $qqq puts for 34%. sold to close $bby puts for loss. sorry for late post 17025255 topeka capital markets thinks so;$;is $fb a buy $fb 0.374 stocktwits is $fb a buy topeka capital markets thinks so: url 16681249 $joe getting attention. no.2 on nyse 100 top buying list $joe 0.788 stocktwits $joe getting attention. no.2 on nyse 100 top buying list url 11661340 massive recent recovery toward new highs should give the real shareholders encouragement on questcor $qcor 0.448 stocktwits $qcor reviewing nflx and gmcr s massive recent recovery toward new highs should give the real shareholders encouragement on questcor. 17470361 buy $sfun 0.437 stocktwits 18-11-2013 $sfun buy at $68.74 mental-stop around $67.05 target at $70.80 url 12799689 $aapl cleary surpassed their bb $bbry -0.274 stocktwits pieman as much as i would like $bbry to capture back market share $aapl cleary surpassed their bb for all too long of a time.aka android 12799689 $aapl cleary surpassed their bb $aapl 0.346 stocktwits pieman as much as i would like $bbry to capture back market share $aapl cleary surpassed their bb for all too long of a time.aka android 16138569 been wrong in his persistent bearishnes $aapl 0.302 stocktwits why innovator s dilemma"" guru clayton christensen has been wrong in his persistent bearishness on $aapl url "	0
round 2 short $fb 112.50 	0
tesla recalls 2,700 model x cars $tsla url 	0
$pcln runs into the 50sma on the acquisition news	2
$jcp worst stock of 2015.	0
$msft $nflx higher than i expected, $aapl much lower, hmmm. url 	2
$googl patents turn signal detector for autonomous cars. url url 	2
$ibm staying strong	2
is any branch of medicine producing top-rated stocks these days we found one: url $hsic $pdco $algn $xray $dhr	2
$amrn put money in $hznp better option, because drug already make money, n more indication, potential up next qe	2
it s a bad idea to make 5 min predictions based on faith: rt dandyduct $aapl sell signal hit at 584, it will go down for the next 5 min	0
pretty steady accumulation off support today. purdy. $agu	2
amazon has been selling surveillance cameras infected with malware $amzn amazon url url 	0
 trendrida $tibx $orcl mentioned as potential suitee, suitor url 	2
