text	labels
u.s. consumers keep cautious stance url premarket $tgt $wmt $cost $hd	0
close $ctrp 46.16 from 43.55 entry 6% timestamp stocks trades url sharing all entries exits realtime	2
 ophirgottlieb $intc every reason to be bullish into the stock drop url 	2
$panw need anoth $1 to all time high. $ftnt new high..	2
$jrcc url long setup: one name of many from coal sector that is displaying this same pattern.	2
also added $sbux today, will be a solid long term investment coffee starbucks passive income	2
$tsla recall	0
marriott wins new starwood deal by raising cash portion of bid, now worth $79.53 sh versus anbang s $78 sh url $hot $mar	2
commented on it s time to embrace dividend growth url $abbv $csco $wyn	2
bullshit all applestores are empty in china $ms must be preparing to liquidate $aapl url url 	2
5-star analyst robert derrington from wunderlich reiterated a buy on $bjri. robert has a 89% success rate url 	2
excited for aapl s big event shortly don t see big value from smaller phone since i m still on a 5s. hoping for other products. $aapl	2
oil to break out: adding chevron url $axp $clgrf $csco $erx $ibm $mcd $ssri $vlo $wmt $xom $cvx	2
unusual call activity url $xli $nxpi $wy $amd $rf $mjn $wsm $aks $gwph $dg $mgm $swks $aapl $ashr $htz $orcl $ddd $lvs	2
china s tourist bonanza isn t going anywhere url $ctrp $qunr $tour	2
$esi itt educational services shares 15% after-hours as company says submitted 2014 financial statements to doe	2
looks like sime jey features if $tsla model 3 like auto pilot and super fast charge will cist xtra and also top safety rating not guaranteed	0
$hyg potential continuation uptrend on a 60 -15 -4 charts url 	2
longed $amzn 300 189.82	2
meanwhile this absolute garbage still up. $mw stores totally empty. inventory galore. stock mispriced $josb	0
"never told this before, but the situation is ""buy the dip"": $kndi, $optt, $omer, $dndn, $mblx, $mstx, $ifon, $imuc, $lf, $tga"	2
$tsla weakest in todays dt watchlist	0
as alcoa kicks off march quarter earnings, we see more reasons to be cautious url $fb $aa $aapl $bac $bke $blk $c $cat	0
$dara breaking out	2
 johnchen blackberry $gs $ms faucette simona, jmho are playing ignorant, so the $bbry smack down looks legitimate	0
$bac in for swing trade looks like want go up	2
commented on apple in need of innovation: sell rating url $aapl $amzn $goog $googl $msft	1
add short 119.2 $spy	0
$dvax nice...	2
 url verified $98.95 loss in $endp trades	0
loving the volume in $vmw above average and higher than yesterday already.	2
$fb hod, buyers stepped in at that $108 this morning. finalhour	2
$bidu url clearing back above 50 day - next buy add area when clears this upper trend line on volume	2
$cost seems to be respecting channel...long vs 147 stop seems good 2:1 r r...7down 15up url 	2
sector stocks leading today: $dvn $apc $fti $cpgx $cnx $har $wrk $lm $lnc $thc $mnk $dgx $mu $symc $avgo $expe $dhi url 	2
dji overbought: $aapl, $axp, $ba, $cvx, $ibm, $intc, $vz url 	0
"john malone: ""everybody is trying to figure out the role of video on the internet."" now look at $fb live video rollout. tough space."	0
$unxl kodak could pick it up before christmas to write it off in their taxes.	2
 realfanboy101 lol just wait... media hate $aapl, they ll whip it back down	0
$agn getting rid of its generic biz wouldn t have any interest in $endp imo. $hznp makes much more sense, plus its irish based	2
$vprt url over 30.37 and into the kirby	2
$amrn got sell signal 7 1 14 still in force with target below 1.50	0
agree with you - this is not the end of the world- buy $aapl $goog	2
$plug i suggest a read of report. future is bright	2
$bbry 2012-2013 bulls be careful not to smack your monitor .. url 	0
$kgc in at 577 added at 576 after p b	2
4 beaten-down internet companies that may be ripe for a takeover target: twitter $twtr - linkedin $lnkd - yahoo $yhoo - groupon $grpn	2
top 5 stock picks for tuesday 04 12 16 1 $cnsl 2 $psxp 3 $dorm 4 $ogs 5 $rost wallsteet stockmarket finance cnbc cnn foxnews	2
$aapl tomorrow morning will likely open north of 136	2
unusual call activity url $vxx $clf $eem $hyg $c $intc $xop $aa $vrx $gs $sbux $jpm $mgm $uso $qqq $bac $cmg $csco $goog	2
$uso $uwti $xle $spy $spx $nugt $aapl iraq boosts oil production to record before talks to cap output url via business	0
failed breakouts failed setups. limping on crutches into next week with $aapl, $rgr, $invn, $mnst, $tsco, $sbh, $meli, $hlf.	0
rival companies $gwr and watco eyeing $ra w take-over interest. url 	2
$endp shares rattled on $insy saying its subsys hit by opioid scrutiny; visium wsj headlines on probe haven t helped; visium is 11 holder	0
buy csx to ride the railroads url via thestreet $csx	2
trade du jour seems to be: out of $fb into $aapl sheople url 	0
$bbby congrats to the analysts from w. blair for the downgrade before er. url 	0
$sbux downgrade by $db good opportunity to buy. if you own it, don t sell it just to buy it again. taxable event url 	2
watching $stx $tol $lei higher, $htz $mdxg $insy lower. and maybe fade the metals gap.	0
$aapl $fb $amzn $pg $mcd $gs $c $ge $utx $slb $xom $googl $agn $wmt $qqq $iwm $gild $hon $jpm $dis nice day rally url 	2
$fb popping up to hod	2
what stocks large players are selling url $crox $gogo $ino	0
$scty finally broke free from big brother s shadow $tsla	2
with a stock split, $aapl could use cash to buy back shares, instead of dividend.	2
$ntrs insider trading: clair st unloaded 5,838 shares of northern trust corporation nasdaq:ntrs url 	0
espn files lawsuit against verizon - url $vz	0
google googl looks to have a solid 2016, with high-teens eps growth $googl url url 	2
