text	labels
the finnish real estate investment company interavanti oyj said on monday 22 september that it has agreed to sell its 65 % ownership in the finnish ticket service company lippupiste oy to cts eventim ag 56,1 % and to the managing director of lippupiste oy .	1
the fish content of the nuggets is 85 % , and the fish comes from canada and finland .	1
hkscan is one of the leading food companies in northern europe with homemarkets in finland , sweden , the baltic countries and poland .	1
fiskars has a strong portfolio of international brands , which include fiskars , iittala , gerber , silva and buster .	2
mr. jorma valkama , managing director of suomen paikallissanomat oy , states that rannikkoseutu complements in an outstanding way the current product range of the company .	1
 in ukraine , too , we act as a partner for major bakery clients in both production and product development .	1
elisa corporation , headquartered in helsinki , is a finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services .	1
founded in 1649 , fiskars has over 360 years of product quality excellence and is finland s oldest company .	1
the difference can be explained by the fact that two shipping companies have stopped operating in the gulf of finland .	1
cargotec s share capital after the increase totals eur 64,299,180 .	1
pharmaceuticals - poland this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in poland .	1
upon completion , keskuskatu will form the backbone of helsinki s pedestrianised downtown area , linking up with the city s other main pedestrian precincts .	2
the program included operational improvements and reductions in personnel , mainly in the netherlands .	1
so far norwegian norske skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while finnish-swedish stora enso is to cut staff by 1,700 people and production by 500,000 tons .	0
corporate it update - c 1995-2009 m2 communications ltd finnish technology group teleste corporation omx helsinki : tlt1v reported on wednesday 4 february an operating profit of eur5 .6 m on net sales of eur108 .7 m for the year 2008 .	1
excluding non-recurring items , pre-tax profit surged 45 % to eur80m .	2
germany s innovational centers are united in focusing at companies , which aim at use of technologies and development of new kinds of activity , through supporting the beginner companies with the entire spectrum of their services .	1
via the move , the company aims annual savings of some eur 3 million usd 4.3 m , the main part of which are expected to be realized this year .	2
following its strategy , tikkurila has established a fully-owned sales company too tikkurila in almaty , kazakhstan , for marketing decorative paints under the finnish tikkurila brand and the russian teks brand .	1
auburn s sales in 2007 were cad 41 million approximately eur 27 million , and the company employs some 150 people .	1
nokia is requesting that the companies stop making and selling the mobile phones and pay monetary damages and costs .	1
according to swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of per nmeri , the northernmost part of the gulf of bothnia .	0
one of uponor s promising future products is a hydronic cooling system .	2
the talks are aimed at restructuring operations and cutting costs .	2
alexandria , va. , march 20 -- patrik flykt and timo alakoski , both of helsinki , finland , and tapio suihko and nadarajah asokan , both of espoo , finland , have developed a method of mobility support of internet-type protocol traffic in a communication system .	1
the stock price rose 70.0 ores or 0.9 % to close at sek77 .65 , ending a two-day streak of losses .	2
in 2010 , the marimekko group s net sales were eur 73,297 thousand eur 72,473 thousand and operating profit was eur 8,169 thousand eur 6,291 thousand .	1
in sales volume , coca-cola s market share has decreased by 2.2 % to 24.2 % .	0
finnish glass technology group glaston corporation omx helsinki : gla1v reported on thursday 14 august an operating profit of eur6 .5 m on net sales of eur201 .5 m for the period january-september 2008 .	1
upon completion of these transactions , metso s stake will amount to more than 60 % .	1
in finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .	0
agricultural newspaper maaseudun tulevaisuus had 318,000 readers , representing a decrease of 6 % .	0
the annual value of the contracts is estimated at usd 2mn over the next three years .	1
this solution is an extension to the existing online mediation solution delivered earlier by comptel and ibm .	1
its other well-known brands include fitness equipment maker precor and u.s. - based ball sports equipment maker wilson .	1
in addition , we will launch a versatile online service to complete the traditional printed newspaper , mr. valkama says .	1
nordea will coordinate the syndicated loan .	1
elcoteq s global service offering covers the entire lifecycle of products , from product development to after-market services .	1
the carrier said its area travel agency is to sell most of its outlets to sister chain suomen matkatoimisto smt and use its remaining bricks-and-mortar presence to primarily target business customers going forward .	1
at 10.58 am , outokumpu declined 2.74 pct to 24.87 eur , while the omx helsinki 25 was 0.55 pct higher at 2,825.14 and the omx helsinki added 0.64 pct to 9,386.89 .	1
based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .	0
 this contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .	2
a high court in finland has fined seven local asphalt companies more than lion $ 117 million for operating a cartel .	0
pentik ninen emphasises that the most of the internet contents media houses provide can not be free forever .	1
the trucks feature an eco drive system - a fuel measuring tool which stores data particular to individual drivers .	1
down to eur5 .9 m h1 09 3 august 2009 - finnish media group ilkka-yhtyma oyj hel : ilk2s said today its net profit fell 45 % on the year to eur5 .9 m in the first half of 2009 .	0
 i m pleased to receive the nomination committee s request and confidence , says jon risfelt .	2
airvana s umts home base station femto cell uses software-based functionality and off-the-shelf silicon to accelerate feature development and reduce product cost .	2
the company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 september 2010 .	1
finnish power company fortum reports 89 % of its electricity was generated without carbon dioxide emissions in 2007 .	1
the company expects its net sales in the first half of 2008 to reach the previous year s level .	2
the chain has been trying to cut its own costs , pressuring vendors such as fitness equipment manufacturer precor to slash prices .	1
ramirent is a leading company in machinery and equipment rentals for construction and industry .	2
cdli highlights the companies that provided the most comprehensive response to the carbon disclosure project cdp information request .	2
jawad williams scored 23 points in an impressive debut for jerusalem , with jason rich adding 18 and yuval naimi chipping in with 16 points for hapoel , which visits the yellow-and-blue next week .	2
25 november 2010 - finnish paints and coatings company tikkurila oyj hel : tik1v said today that finnish state-owned investment company solidium oy sold its 14.7 % stake in the company for a total of eur98m .	1
the center offers a comprehensive range of device design services spanning from electronics , mechanics and software design to a full range of testing laboratory services .	1
commission income increased by 22 % to eur 4.4 mn , and lending volume rose by 13.5 % .	2
the permanent magnet generators and power converters are today the preferred solution in new wind turbine designs , the company said .	1
the proposed consolidation activities will impact approximately 30 positions .	1
operating profit margin was 8.3 % , compared to 11.8 % a year earlier .	0
 eb tough voip was designed to fulfill the communications needs of military units , and we continue to strive towards achieving that goal , mikko viitaniemi , eb elektrobit defense products , wireless solutions senior manager , said in a statement .	1
a corresponding increase of 85,432.50 euros in ahlstrom s share capital has been entered in the trade register today .	1
ramirent made 18 million kroons eur 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .	0
 following last year s good profit development , we have entered the current year in a good position .	2
the total capital of funds managed by the bank decreased by 28 % to eur 284mn by the end of september 2008 .	0
the number of magazine and newspaper readers remained unchanged .	1
the company , employing 6,400 , reported net sales of 620 mln euro $ 823.2 mln for 2006 .	1
the company has committed to further expanding the apollo portfolio .	2
finnish operator elisa and aker yards have signed a long-term service deal through which elisa will deliver all necessary voice and data services for aker yards in finland .	2
- i am pleased that bjorn wahlroos has accepted the nomination .	2
